자치구,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2022.08.15.00,"52,157","89,536","145,318","115,602","191,150","129,302","158,265","97,325","173,391","168,114","211,168","170,836","220,195","279,623"
2022.08.14.00,"52,050","89,345","145,034","115,388","190,677","129,003","157,956","97,171","173,059","167,782","210,761","170,578","219,714","279,092"
2022.08.13.00,"51,852","88,970","144,476","114,790","189,691","128,384","157,261","96,747","172,341","167,004","209,737","169,722","218,768","277,761"
2022.08.12.00,"51,597","88,475","143,824","114,234","188,718","127,661","156,356","96,286","171,533","166,192","208,687","168,841","217,692","276,305"
2022.08.11.00,"51,319","87,935","143,096","113,648","187,615","126,911","155,481","95,783","170,652","165,284","207,514","167,904","216,569","274,833"
2022.08.10.00,"51,003","87,343","142,334","113,000","186,499","126,101","154,529","95,293","169,658","164,359","206,198","166,954","215,372","273,140"
2022.08.09.00,"50,711","86,744","141,478","112,287","185,305","125,254","153,554","94,678","168,615","163,311","204,973","165,912","214,045","271,430"
2022.08.08.00,"50,403","86,083","140,590","111,551","184,268","124,161","152,353","93,969","167,398","162,082","203,447","164,928","212,487","269,416"
2022.08.07.00,"50,312","85,940","140,325","111,318","183,876","123,906","152,044","93,808","167,098","161,811","203,109","164,562","212,004","268,893"
2022.08.06.00,"50,068","85,552","139,808","110,794","182,971","123,313","151,288","93,380","166,403","161,040","202,113","163,787","211,135","267,765"
2022.08.05.00,"49,851","85,155","139,218","110,286","182,051","122,696","150,533","92,912","165,599","160,291","201,027","162,962","210,050","266,495"
2022.08.04.00,"49,636","84,670","138,579","109,781","181,189","122,025","149,770","92,500","164,775","159,469","199,920","162,183","209,081","265,189"
2022.08.03.00,"49,413","84,216","137,900","109,247","180,231","121,411","148,944","92,072","163,985","158,655","198,863","161,243","208,108","263,865"
2022.08.02.00,"49,126","83,701","137,225","108,678","179,161","120,682","148,062","91,584","163,067","157,793","197,609","160,206","206,856","262,439"
2022.08.01.00,"48,783","83,107","136,475","108,100","178,143","119,863","146,973","91,017","161,967","156,787","196,333","159,364","205,626","260,621"
2022.07.31.00,"48,705","82,957","136,201","107,891","177,806","119,629","146,690","90,894","161,651","156,547","196,004","158,940","205,227","260,163"
2022.07.30.00,"48,515","82,683","135,781","107,524","177,025","119,205","146,108","90,634","161,131","156,017","195,245","158,289","204,471","259,181"
2022.07.29.00,"48,290","82,287","135,266","107,144","176,247","118,636","145,444","90,308","160,513","155,393","194,446","157,529","203,596","258,069"
2022.07.28.00,"48,087","81,872","134,757","106,703","175,467","118,074","144,754","89,948","159,819","154,742","193,470","156,788","202,634","256,895"
2022.07.27.00,"47,884","81,464","134,173","106,189","174,669","117,514","144,064","89,597","159,168","154,039","192,546","155,932","201,614","255,741"
2022.07.26.00,"47,621","81,027","133,592","105,666","173,750","116,881","143,324","89,220","158,353","153,234","191,517","154,963","200,540","254,401"
2022.07.25.00,"47,310","80,399","132,863","105,123","172,882","116,119","142,324","88,796","157,410","152,289","190,279","154,080","199,166","252,754"
2022.07.24.00,"47,258","80,270","132,690","104,991","172,521","115,931","142,116","88,718","157,161","152,074","189,969","153,706","198,719","252,360"
2022.07.23.00,"47,087","79,959","132,306","104,639","171,843","115,527","141,561","88,493","156,610","151,568","189,237","153,003","197,884","251,321"
2022.07.22.00,"46,895","79,634","131,842","104,271","171,129","115,094","140,983","88,234","156,025","151,010","188,473","152,329","196,984","250,343"
2022.07.21.00,"46,662","79,254","131,206","103,696","170,357","114,549","140,320","87,947","155,367","150,361","187,660","151,581","196,072","249,172"
2022.07.20.00,"46,449","78,849","130,746","103,468","169,604","114,005","139,618","87,636","154,725","149,711","186,743","150,796","195,082","247,937"
2022.07.19.00,"46,248","78,437","130,260","103,078","168,818","113,419","138,870","87,385","154,064","149,042","185,908","149,923","193,999","246,883"
2022.07.18.00,"46,034","77,967","129,678","102,694","168,044","112,862","138,114","87,070","153,289","148,288","185,028","149,191","192,904","245,519"
2022.07.17.00,"45,991","77,869","129,526","102,603","167,755","112,709","137,912","86,998","153,138","148,105","184,796","148,910","192,548","245,111"
2022.07.16.00,"45,871","77,666","129,285","102,423","167,361","112,448","137,498","86,872","152,810","147,771","184,335","148,471","192,014","244,606"
2022.07.15.00,"45,708","77,353","128,978","102,239","166,809","111,867","138,601","86,698","152,339","147,395","183,822","148,022","191,421","243,833"
2022.07.14.00,"45,582","77,157","128,710","102,065","166,315","111,578","138,165","86,545","151,998","147,012","183,378","147,528","191,468","243,186"
2022.07.13.00,"45,448","76,894","128,423","101,859","165,909","111,274","137,738","86,383","151,634","146,632","182,898","146,999","190,873","242,468"
2022.07.12.00,"45,324","76,647","128,140","101,682","165,449","110,955","137,286","86,231","151,270","146,269","182,385","146,475","190,325","241,875"
2022.07.11.00,"45,197","76,391","127,862","101,529","165,138","110,602","136,823","86,083","150,866","145,863","181,927","146,041","189,718","241,124"
2022.07.10.00,"45,166","76,336","127,794","101,486","164,991","110,518","136,691","86,061","150,774","145,755","181,814","145,889","189,532","240,919"
2022.07.09.00,"45,091","76,215","127,662","101,381","164,708","110,345","136,479","85,989","150,548","145,557","181,523","145,599","189,177","240,551"
2022.07.08.00,"45,027","76,091","127,540","101,272","164,487","110,170","136,242","85,911","150,340","145,367","181,324","145,341","188,864","240,188"
2022.07.07.00,"44,959","75,979","127,404","101,182","164,271","110,002","136,022","85,851","150,177","145,207","181,076","145,110","188,539","239,862"
2022.07.06.00,"44,901","75,869","127,267","101,090","164,077","109,843","135,804","85,792","149,965","145,032","180,862","144,859","188,234","239,479"
2022.07.05.00,"44,831","75,757","127,139","100,999","163,869","109,680","135,575","85,720","149,780","144,842","180,627","144,625","187,899","239,130"
2022.07.04.00,"44,779","75,607","126,988","100,907","163,726","109,509","135,357","85,658","149,576","144,669","180,412","144,430","187,550","238,752"
2022.07.03.00,"44,773","75,551","126,954","100,890","163,652","109,480","135,306","85,648","149,543","144,625","180,363","144,388","187,449","238,654"
2022.07.02.00,"44,743","75,509","126,896","100,832","163,572","109,402","135,176","85,606","149,441","144,511","180,209","144,256","187,310","238,448"
2022.07.01.00,"44,704","75,362","126,837","100,788","163,461","109,310","135,030","85,579","149,321","144,418","180,069","144,128","187,095","238,219"
2022.06.30.00,"44,678","75,276","126,773","100,750","163,375","109,248","134,913","85,540","149,226","144,327","179,939","144,007","186,932","238,036"
2022.06.29.00,"44,640","75,208","126,716","100,715","163,290","109,180","134,805","85,510","149,115","144,250","179,831","143,877","186,769","237,867"
2022.06.28.00,"44,593","75,119","126,641","100,658","163,212","109,119","134,683","85,483","148,997","144,162","179,699","143,751","186,567","237,696"
2022.06.27.00,"44,548","75,035","126,582","100,585","163,160","109,047","134,548","85,436","148,896","144,064","179,573","143,643","186,395","237,513"
2022.06.26.00,"44,536","75,012","126,566","100,573","163,137","109,030","134,520","85,429","148,871","144,044","179,549","143,601","186,345","237,460"
2022.06.25.00,"44,508","74,986","126,541","100,547","163,071","108,992","134,463","85,410","148,824","143,997","179,492","143,523","186,234","237,366"
2022.06.24.00,"44,478","74,953","126,513","100,508","163,024","108,937","134,373","85,386","148,771","143,950","179,405","143,450","186,109","237,260"
2022.06.23.00,"44,467","74,897","126,480","100,474","162,962","108,901","134,291","85,356","148,712","143,886","179,328","143,374","185,998","237,117"
2022.06.22.00,"44,437","74,863","126,435","100,445","162,898","108,855","134,216","85,329","148,661","143,820","179,265","143,287","185,893","236,998"
2022.06.21.00,"44,405","74,809","126,395","100,398","162,829","108,811","134,144","85,309","148,587","143,744","179,149","143,186","185,781","236,864"
2022.06.20.00,"44,384","74,750","126,340","100,356","162,778","108,757","134,037","85,254","148,506","143,674","179,060","143,091","185,634","236,660"
2022.06.19.00,"44,370","74,732","126,323","100,343","162,741","108,743","134,008","85,238","148,474","143,659","179,032","143,055","185,571","236,597"
2022.06.18.00,"44,356","74,705","126,297","100,319","162,705","108,719","133,953","85,215","148,430","143,613","178,968","142,982","185,477","236,509"
2022.06.17.00,"44,340","74,674","126,270","100,296","162,663","108,682","133,886","85,195","148,379","143,559","178,917","142,917","185,377","236,398"
2022.06.16.00,"44,324","74,647","126,241","100,282","162,618","108,644","133,827","85,175","148,321","143,509","178,839","142,839","185,292","236,304"
2022.06.15.00,"44,306","74,616","126,207","100,252","162,560","108,590","133,767","85,147","148,253","143,463","178,763","142,766","185,182","236,192"
2022.06.14.00,"44,284","74,563","126,174","100,232","162,480","108,544","133,687","85,120","148,165","143,390","178,670","142,680","185,059","236,076"
2022.06.13.00,"44,266","74,508","126,119","100,198","162,410","108,486","133,615","85,089","148,093","143,312","178,606","142,595","184,937","235,937"
2022.06.12.00,"44,255","74,494","126,102","100,186","162,361","108,464","133,584","85,081","148,073","143,276","178,587","142,542","184,879","235,888"
2022.06.11.00,"44,239","74,449","126,081","100,166","162,320","108,437","133,534","85,063","148,017","143,222","178,536","142,507","184,802","235,797"
2022.06.10.00,"44,220","74,414","126,052","100,127","162,273","108,385","133,457","85,036","147,959","143,167","178,467","142,442","184,727","235,710"
2022.06.09.00,"44,208","74,362","126,015","100,097","162,211","108,344","133,378","85,000","147,891","143,102","178,389","142,373","184,624","235,597"
2022.06.08.00,"44,190","74,316","125,955","100,059","162,088","108,266","133,286","84,961","147,806","143,023","178,294","142,282","184,502","235,461"
2022.06.07.00,"44,147","74,253","125,854","100,005","162,021","108,173","133,145","84,817","147,697","142,917","178,192","142,189","184,344","235,299"
2022.06.06.00,"44,139","74,227","125,827","99,988","161,964","108,145","133,107","84,803","147,676","142,870","178,151","142,139","184,275","235,242"
2022.06.05.00,"44,127","74,212","125,806","99,980","161,932","108,103","133,081","84,786","147,655","142,834","178,126","142,083","184,218","235,194"
2022.06.04.00,"44,096","74,172","125,761","99,943","161,845","108,053","133,009","84,743","147,578","142,750","178,024","142,011","184,107","235,066"
2022.06.03.00,"44,077","74,065","125,709","99,907","161,709","107,971","132,935","84,701","147,516","142,672","177,951","141,891","183,964","234,960"
2022.06.02.00,"44,056","73,995","125,633","99,854","161,615","107,875","132,859","84,675","147,426","142,585","177,839","141,775","183,844","234,821"
2022.06.01.00,"44,042","73,962","125,564","99,822","161,493","107,822","132,793","84,658","147,385","142,534","177,762","141,686","183,627","234,701"
2022.05.31.00,"44,014","73,900","125,419","99,773","161,377","107,754","132,695","84,608","147,300","142,442","177,622","141,556","183,316","234,555"
2022.05.30.00,"43,974","73,810","125,287","99,712","161,271","107,633","132,571","84,561","147,180","142,324","177,482","141,426","183,060","234,368"
2022.05.29.00,"43,966","73,794","125,206","99,695","161,116","107,604","132,530","84,549","147,146","142,299","177,446","141,376","182,932","234,323"
2022.05.28.00,"43,950","73,734","125,148","99,653","161,015","107,556","132,459","84,506","147,068","142,236","177,347","141,279","182,760","234,188"
2022.05.27.00,"43,913","73,664","125,078","99,609","160,894","107,482","132,379","84,465","146,971","142,150","177,257","141,167","182,600","234,068"
2022.05.26.00,"43,880","73,535","124,990","99,563","160,770","107,399","132,282","84,423","146,869","142,057","177,134","141,024","182,115","233,871"
2022.05.25.00,"43,844","73,453","124,908","99,499","160,650","107,295","132,171","84,381","146,749","141,958","176,987","140,886","181,942","233,703"
2022.05.24.00,"43,810","73,350","124,800","99,427","160,497","107,176","132,029","84,322","146,597","141,802","176,805","140,710","181,711","233,468"
2022.05.23.00,"43,753","73,233","124,657","99,314","160,342","107,047","131,866","84,246","146,425","141,625","176,590","140,522","181,464","233,137"
2022.05.22.00,"43,745","73,212","124,602","99,278","160,298","107,010","131,809","84,228","146,380","141,588","176,522","140,458","181,361","233,051"
2022.05.21.00,"43,718","73,141","124,514","99,202","160,121","106,920","131,673","84,166","146,266","141,484","176,389","140,343","181,232","232,850"
